,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Sales +,"1,180","1,441","1,668","1,631","1,941","2,292","2,410","2,359","2,653","2,783","2,914","2,790"
Expenses +,"1,032","1,240","1,427","1,400","1,639","1,964","1,998","1,861","2,235","2,442","2,503","2,408"
Operating Profit,148,201,241,231,302,328,413,498,418,341,411,382
OPM %,13%,14%,14%,14%,16%,14%,17%,21%,16%,12%,14%,14%
Other Income +,2,0,7,14,4,12,8,22,23,16,26,27
Interest,23,18,23,15,9,9,19,19,17,22,21,21
Depreciation,31,40,47,51,54,62,109,110,114,125,147,158
Profit before tax,96,143,178,178,244,268,292,391,311,210,269,230
Tax %,31%,28%,32%,33%,34%,35%,22%,25%,25%,26%,26%,26%
Net Profit +,66,103,120,120,161,175,226,292,233,154,200,170
EPS in Rs,2.74,4.29,5.01,4.99,6.69,7.07,9.11,11.74,9.35,6.21,8.05,6.84
Dividend Payout %,5%,6%,6%,10%,11%,13%,14%,21%,27%,40%,37%,-0%
