,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,547,597,659,613,617,687,732,678,660,742,734,704,667
Expenses +,489,537,579,528,526,570,597,559,552,608,595,589,555
Operating Profit,57,60,80,84,91,117,135,119,108,133,138,116,112
OPM %,10%,10%,12%,14%,15%,17%,18%,18%,16%,18%,19%,16%,17%
Other Income +,6,13,12,15,6,17,13,11,13,14,13,14,11
Interest,3,3,3,3,3,1,1,1,1,1,1,1,2
Depreciation,15,13,13,12,12,12,12,13,13,13,14,14,15
Profit before tax,45,57,76,84,82,121,135,115,107,132,136,114,107
Tax %,17%,16%,14%,20%,28%,21%,23%,21%,27%,23%,23%,23%,29%
Net Profit +,37,48,65,67,59,96,104,91,78,102,105,87,76
EPS in Rs,1.03,1.32,1.76,1.84,1.61,2.62,2.84,2.48,2.13,2.77,2.86,2.38,2.08
Raw PDF,,,,,,,,,,,,,
