,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,"1,438","1,666","1,307","1,463","1,317","1,326","1,291","1,309","1,530","1,342","1,268","1,298","1,468"
Expenses +,"1,041","1,206","1,072","1,280","1,041","1,019",930,978,"1,201",935,"1,021","1,076","1,150"
Operating Profit,397,461,235,183,276,307,361,331,329,408,247,221,318
OPM %,28%,28%,18%,13%,21%,23%,28%,25%,22%,30%,19%,17%,22%
Other Income +,124,16,26,41,14,44,26,17,41,32,24,20,32
Interest,1,4,10,18,14,10,10,16,24,14,14,13,15
Depreciation,27,28,31,33,32,34,35,35,37,38,39,37,40
Profit before tax,493,445,221,174,243,307,343,296,310,387,218,192,295
Tax %,20%,26%,24%,26%,30%,25%,25%,23%,29%,26%,27%,24%,25%
Net Profit +,392,327,169,128,170,231,257,229,219,287,159,145,222
EPS in Rs,5.77,4.64,2.39,1.82,2.41,3.40,3.78,3.37,3.21,4.22,2.38,2.16,3.31
Raw PDF,,,,,,,,,,,,,
