,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Sales +,892,974,956,"1,168","1,203","1,442","1,496",832,"1,112","1,694","1,748","1,786"
Expenses +,682,735,749,892,979,"1,170","1,180",744,"1,017","1,403","1,452","1,467"
Operating Profit,210,239,207,275,223,272,315,88,94,291,296,318
OPM %,24%,25%,22%,24%,19%,19%,21%,11%,8%,17%,17%,18%
Other Income +,4,3,17,22,26,23,22,59,98,79,82,707
Interest,12,11,5,6,9,17,19,11,7,13,21,19
Depreciation,26,31,30,28,31,33,47,47,50,58,65,66
Profit before tax,176,200,190,264,210,245,272,89,135,298,291,940
Tax %,34%,35%,37%,31%,39%,38%,27%,37%,45%,32%,13%,15%
Net Profit +,115,130,107,171,127,153,197,56,74,204,252,804
EPS in Rs,4.83,5.47,4.51,7.30,5.45,6.68,8.62,2.44,3.34,9.04,11.12,33.53
Dividend Payout %,41%,40%,49%,34%,28%,15%,35%,41%,45%,29%,23%,9%
