,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Sales +,"10,508","9,254","8,495","8,818","8,591","9,341","9,325","8,131","9,712","10,612","11,321","12,069"
Expenses +,"13,876","9,619","8,162","7,826","7,381","7,947","7,756","7,080","8,117","9,195","9,321","9,833"
Operating Profit,"-3,368",-366,333,991,"1,209","1,394","1,569","1,051","1,595","1,417","2,000","2,236"
OPM %,-32%,-4%,4%,11%,14%,15%,17%,13%,16%,13%,18%,19%
Other Income +,681,-360,648,-265,172,70,89,-25,-117,249,208,271
Interest,"1,323",687,457,375,278,237,212,188,88,104,76,89
Depreciation,203,223,157,189,192,215,285,299,304,283,275,283
Profit before tax,"-4,213","-1,635",366,163,912,"1,012","1,160",540,"1,087","1,279","1,857","2,135"
Tax %,7%,3%,61%,43%,28%,32%,47%,33%,25%,12%,24%,26%
Net Profit +,"-4,489","-1,687",143,93,652,684,621,362,811,"1,126","1,408","1,582"
EPS in Rs,-61.78,-23.23,1.90,1.38,8.72,9.64,9.07,5.28,11.40,15.63,19.36,21.75
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,46%,55%
