,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Sales +,"1,179","1,843","2,123","1,583","1,604","2,817","2,441",765,"1,825","2,252","3,036","4,923"
Expenses +,897,"1,586","1,986","1,330","1,819","2,639","2,181","1,214","1,880","2,045","3,165","4,997"
Operating Profit,283,257,137,253,-216,178,260,-449,-56,207,-130,-74
OPM %,24%,14%,6%,16%,-13%,6%,11%,-59%,-3%,9%,-4%,-2%
Other Income +,75,83,146,150,499,419,473,568,761,787,"1,326","2,044"
Interest,4,5,41,104,150,234,220,185,167,174,152,174
Depreciation,6,10,14,14,16,14,21,20,21,24,45,74
Profit before tax,347,326,228,284,117,348,493,-86,516,795,"1,000","1,723"
Tax %,32%,28%,30%,27%,26%,27%,44%,121%,32%,22%,25%,19%
Net Profit +,236,236,160,207,87,253,274,-189,351,621,747,"1,389"
EPS in Rs,8.00,9.58,7.33,9.56,4.01,11.04,10.73,-6.81,12.68,20.55,26.08,46.48
Dividend Payout %,25%,21%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
