,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,244,235,308,258,291,277,296,307,334,369
Expenses +,192,195,237,199,224,223,226,243,265,288
Operating Profit,52,40,72,59,67,53,70,64,69,81
OPM %,21%,17%,23%,23%,23%,19%,24%,21%,21%,22%
Other Income +,6,6,8,7,5,11,5,13,16,14
Interest,1,2,1,1,2,2,2,3,2,1
Depreciation,4,3,4,4,5,5,6,6,6,7
Profit before tax,54,41,76,60,64,58,68,69,76,86
Tax %,24%,25%,25%,23%,24%,24%,23%,28%,23%,24%
Net Profit +,41,31,57,46,49,44,53,49,58,66
EPS in Rs,4.48,3.37,6.29,5.10,5.35,4.86,5.80,5.45,6.43,7.22
Raw PDF,,,,,,,,,,
