,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Sales +,"7,224","8,651","9,427","9,376","11,905","13,166","14,253","14,404","15,110","17,237","19,547","23,242"
Expenses +,"6,021","6,896","7,095","7,474","9,074","10,174","11,455","11,013","11,768","13,378","14,163","16,183"
Operating Profit,"1,203","1,756","2,332","1,902","2,831","2,991","2,798","3,391","3,342","3,860","5,384","7,058"
OPM %,17%,20%,25%,20%,24%,23%,20%,24%,22%,22%,28%,30%
Other Income +,30,45,112,127,111,183,-264,-231,"2,581",-422,293,50
Interest,90,68,53,45,91,194,342,159,127,130,81,166
Depreciation,201,287,292,373,539,599,696,670,713,723,764,916
Profit before tax,942,"1,446","2,099","1,612","2,312","2,382","1,495","2,331","5,084","2,585","4,832","6,027"
Tax %,11%,18%,8%,8%,24%,22%,21%,8%,10%,23%,20%,23%
Net Profit +,836,"1,188","1,964","1,517","1,810","1,899","1,204","2,185","4,618","2,092","3,973","4,673"
EPS in Rs,7.85,11.24,18.89,14.53,17.35,18.06,11.49,20.84,43.83,19.37,38.36,44.97
Dividend Payout %,23%,21%,17%,22%,20%,19%,30%,17%,6%,31%,8%,24%
