,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,699,695,609,803,718,682,612,898,784,753,671,940
Expenses +,528,563,506,650,582,546,510,699,643,620,565,730
Operating Profit,172,132,104,153,136,136,102,199,141,133,107,210
OPM %,25%,19%,17%,19%,19%,20%,17%,22%,18%,18%,16%,22%
Other Income +,11,22,14,7,9,10,11,11,12,12,13,14
Interest,0,0,1,1,1,1,1,1,1,1,1,1
Depreciation,22,22,22,21,21,21,21,22,22,21,21,21
Profit before tax,160,131,95,137,123,124,91,187,130,124,98,202
Tax %,26%,26%,26%,24%,27%,25%,26%,24%,26%,27%,24%,7%
Net Profit +,118,98,71,105,90,93,68,141,96,90,74,187
EPS in Rs,15.69,12.98,9.38,13.89,11.98,12.37,8.98,18.80,12.80,11.96,9.88,24.84
Raw PDF,,,,,,,,,,,,
