,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Sales +,"39,627","27,133","24,616","30,599","38,395","35,452","26,023","43,169","59,899","52,729","50,982"
Expenses +,"38,109","25,547","22,024","27,285","35,101","31,462","21,323","37,918","55,045","47,520","45,458"
Operating Profit,"1,518","1,586","2,592","3,314","3,294","3,990","4,700","5,250","4,854","5,209","5,524"
OPM %,4%,6%,11%,11%,9%,11%,18%,12%,8%,10%,11%
Other Income +,156,188,364,349,525,306,377,395,523,605,773
Interest,308,239,210,163,99,403,336,317,331,290,258
Depreciation,329,322,369,412,411,776,784,768,764,777,806
Profit before tax,"1,037","1,214","2,378","3,088","3,309","3,116","3,958","4,559","4,282","4,748","5,233"
Tax %,13%,24%,28%,32%,33%,13%,26%,25%,26%,26%,26%
Net Profit +,905,928,"1,723","2,110","2,231","2,703","2,939","3,438","3,326","3,652","3,973"
EPS in Rs,6.03,6.19,11.49,14.07,14.87,18.02,19.59,22.92,22.17,24.35,26.48
Dividend Payout %,17%,20%,22%,32%,67%,69%,59%,50%,45%,41%,38%
