,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Sales +,774,951,"1,311","1,435","1,735","1,647","1,192","1,419","1,533","1,512","2,036","2,518"
Expenses +,434,484,787,837,"1,082",940,594,505,516,555,649,789
Operating Profit,340,468,524,598,653,707,598,914,"1,017",957,"1,386","1,729"
OPM %,44%,49%,40%,42%,38%,43%,50%,64%,66%,63%,68%,69%
Other Income +,4,3,3,1,14,3,1,1,2,5,2,3
Interest,0,0,0,0,2,0,6,4,4,4,6,7
Depreciation,14,7,4,18,9,10,33,33,27,30,29,31
Profit before tax,330,464,522,581,656,700,560,877,989,928,"1,352","1,694"
Tax %,18%,24%,24%,31%,30%,30%,26%,23%,25%,22%,18%,24%
Net Profit +,271,354,396,402,457,487,415,680,744,723,"1,107","1,286"
EPS in Rs,234.92,307.69,344.12,348.92,7.45,7.94,6.78,11.04,11.96,11.61,17.58,20.27
Dividend Payout %,123%,40%,36%,0%,81%,76%,74%,72%,92%,99%,94%,89%
