,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,"55,764","58,018","56,176","53,151","55,857","52,991","54,169","52,808","55,994","57,013","58,203","58,390","64,890"
Expenses +,"48,460","49,589","50,814","49,603","50,530","47,277","48,557","46,943","49,314","49,510","50,320","50,807","56,054"
Operating Profit,"7,304","8,429","5,362","3,548","5,327","5,714","5,612","5,865","6,680","7,503","7,883","7,583","8,836"
OPM %,13%,15%,10%,7%,10%,11%,10%,11%,12%,13%,14%,13%,14%
Other Income +,34,255,330,368,354,381,496,281,362,96,561,469,706
Interest,805,847,879,934,986,992,"1,034",944,888,859,869,817,874
Depreciation,"1,761","1,749","1,713","1,768","1,856","1,786","1,843","1,874","2,018","1,892","1,932","1,939","2,118"
Profit before tax,"4,772","6,088","3,100","1,214","2,839","3,317","3,231","3,328","4,136","4,848","5,643","5,296","6,550"
Tax %,19%,32%,29%,-12%,15%,26%,32%,30%,23%,37%,31%,29%,19%
Net Profit +,"3,851","4,119","2,205","1,362","2,411","2,454","2,196","2,331","3,174","3,074","3,909","3,735","5,284"
EPS in Rs,17.14,18.33,9.81,6.06,10.73,10.92,9.77,10.37,14.12,13.68,17.39,16.62,23.51
Raw PDF,,,,,,,,,,,,,
