,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025
Sales +,234,248,237,217,188,181,195,228,224,238,241,264,243
Expenses +,143,150,129,112,112,106,108,133,129,148,142,159,143
Operating Profit,91,97,108,105,76,75,87,95,95,90,98,105,100
OPM %,39%,39%,46%,48%,40%,41%,44%,42%,42%,38%,41%,40%,41%
Other Income +,2,3,13,13,13,6,8,14,10,11,5,12,13
Interest,0,0,0,0,0,0,0,1,0,0,0,0,0
Depreciation,8,9,9,10,11,11,11,13,16,18,18,17,19
Profit before tax,85,92,112,108,79,69,83,95,89,83,85,100,95
Tax %,26%,26%,25%,25%,25%,25%,25%,26%,26%,29%,23%,26%,26%
Net Profit +,63,68,84,81,59,52,63,70,66,59,66,74,70
EPS in Rs,5.92,6.40,7.89,7.58,5.55,4.91,5.89,6.61,6.20,5.53,6.18,6.97,6.59
Raw PDF,,,,,,,,,,,,,
