,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales +,"433,521","374,372","272,583","303,954","390,823","568,337","596,679","466,307","694,673","876,396","899,041","964,693","976,541"
Expenses +,"398,586","336,923","230,802","257,647","326,508","484,087","507,413","385,517","586,092","734,078","736,543","799,249","806,957"
Operating Profit,"34,935","37,449","41,781","46,307","64,315","84,250","89,266","80,790","108,581","142,318","162,498","165,444","169,584"
OPM %,8%,10%,15%,15%,16%,15%,15%,17%,16%,16%,18%,17%,17%
Other Income +,"8,865","8,528","12,212","9,222","9,869","8,406","8,570","22,432","19,600","12,020","16,179","17,978","29,114"
Interest,"3,836","3,316","3,691","3,849","8,052","16,495","22,027","21,189","14,584","19,571","23,118","24,269","25,387"
Depreciation,"11,201","11,547","11,565","11,646","16,706","20,934","22,203","26,572","29,782","40,303","50,832","53,136","53,382"
Profit before tax,"28,763","31,114","38,737","40,034","49,426","55,227","53,606","55,461","83,815","94,464","104,727","106,017","119,929"
Tax %,22%,24%,23%,25%,27%,28%,26%,3%,19%,22%,25%,24%,
Net Profit +,"22,548","23,640","29,861","29,833","36,080","39,837","39,880","53,739","67,845","74,088","79,020","81,309","94,647"
EPS in Rs,16.31,17.07,21.51,21.55,26.69,29.28,29.10,38.75,44.87,49.29,51.45,51.47,60.23
Dividend Payout %,12%,12%,10%,11%,10%,10%,10%,9%,9%,9%,10%,11%,
