,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Sales +,"2,675","2,713","2,642","2,526","2,775","3,349","3,135","2,717","3,058","3,730","4,001","4,492"
Expenses +,"2,467","2,520","2,567","2,431","2,625","3,221","2,928","2,475","2,852","3,330","3,481","3,883"
Operating Profit,208,193,75,95,151,128,207,241,206,400,520,609
OPM %,8%,7%,3%,4%,5%,4%,7%,9%,7%,11%,13%,14%
Other Income +,3,15,27,31,21,23,37,53,32,22,65,64
Interest,51,50,51,45,40,47,52,44,33,35,26,25
Depreciation,55,95,66,65,59,64,71,68,70,69,78,89
Profit before tax,105,63,-15,16,73,41,121,182,135,318,481,559
Tax %,38%,28%,-25%,111%,37%,113%,44%,15%,40%,29%,29%,28%
Net Profit +,65,45,-23,4,50,3,72,161,94,236,350,419
EPS in Rs,8.07,5.18,-3.04,0.48,6.22,0.44,9.05,20.29,11.88,29.59,43.84,52.29
Dividend Payout %,31%,10%,-16%,207%,40%,570%,28%,15%,25%,15%,14%,13%
