,Mar 2015,Mar 2016,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Sales +,323,855,"3,224","3,279","2,801","4,974","7,990","9,978","6,900"
Expenses +,683,"2,523","7,592","5,964","4,640","7,358","9,634","10,921","8,407"
Operating Profit,-360,"-1,668","-4,368","-2,685","-1,838","-2,384","-1,644",-943,"-1,506"
OPM %,-111%,-195%,-135%,-82%,-66%,-48%,-21%,-9%,-22%
Other Income +,16,164,280,-45,356,288,410,314,"1,550"
Interest,2,1,38,54,38,42,24,26,16
Depreciation,21,28,112,174,178,247,485,736,673
Profit before tax,-367,"-1,534","-4,237","-2,958","-1,698","-2,385","-1,743","-1,390",-645
Tax %,1%,0%,-0%,-1%,0%,0%,2%,2%,3%
Net Profit +,-372,"-1,535","-4,231","-2,942","-1,701","-2,396","-1,776","-1,422",-663
EPS in Rs,-123.02,-331.99,-726.78,-470.27,-280.42,-36.90,-28.02,-22.30,-10.33
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%,0%
