,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales +,"1,293","1,329","1,280","1,202","1,180","1,225","1,088","1,044","1,212","1,530","1,937","2,227","2,325"
Expenses +,"1,136","1,153","1,105","1,027","1,055","1,084",947,858,960,"1,189","1,463","1,684","1,745"
Operating Profit,157,176,176,175,126,140,142,186,252,341,475,543,581
OPM %,12%,13%,14%,15%,11%,11%,13%,18%,21%,22%,24%,24%,25%
Other Income +,14,17,29,12,8,69,9,8,5,22,50,68,159
Interest,80,87,83,90,75,74,78,60,38,14,9,13,17
Depreciation,62,72,62,53,53,48,53,52,49,49,51,61,72
Profit before tax,29,34,60,44,6,88,20,81,171,300,465,537,650
Tax %,51%,49%,37%,75%,-33%,21%,-360%,29%,18%,21%,24%,23%,
Net Profit +,14,17,37,11,7,70,90,58,140,238,356,415,517
EPS in Rs,0.63,0.75,1.72,0.48,0.33,3.12,4.00,2.57,6.26,10.58,15.85,18.50,23.05
Dividend Payout %,79%,73%,32%,52%,30%,3%,0%,8%,11%,9%,9%,11%,
