,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Sales +,"74,001","71,448","75,841","83,773","92,094","104,721","75,382","74,278","90,171","121,269","139,078","159,211"
Expenses +,"63,830","62,655","65,759","73,038","78,868","89,514","65,224","62,791","75,488","100,983","114,186","128,693"
Operating Profit,"10,170","8,793","10,082","10,735","13,226","15,207","10,158","11,487","14,683","20,285","24,892","30,518"
OPM %,14%,12%,13%,13%,14%,15%,13%,15%,16%,17%,18%,19%
Other Income +,773,800,"1,399","2,077","4,366","2,676",885,"1,152","3,204","3,961","3,298","3,718"
Interest,"2,954","3,157","3,368","3,648","3,987","5,021","6,021","6,102","5,018","5,830","7,488","9,083"
Depreciation,"2,170","2,124","2,442","2,813","3,280","3,991","3,367","3,378","3,508","4,357","4,724","6,074"
Profit before tax,"5,820","4,313","5,672","6,350","10,326","8,871","1,655","3,158","9,362","14,060","15,978","19,080"
Tax %,26%,40%,37%,36%,23%,32%,119%,52%,23%,19%,23%,26%
Net Profit +,"5,154","3,381","3,554","4,051","7,958","6,017",-321,"1,512","7,253","11,374","12,270","14,073"
EPS in Rs,37.89,25.26,25.35,29.77,60.41,42.76,1.02,14.58,52.91,82.68,90.62,103.97
Dividend Payout %,18%,23%,21%,22%,11%,17%,205%,54%,20%,18%,21%,22%
