,Sep 2013,Sep 2014,"Mar 2016
            
              18m",Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Sales +,"12,248","13,329","20,179","13,412","14,954","16,062","16,237","16,162","19,317","23,008","25,169","28,152"
Expenses +,"10,468","11,384","15,743","10,763","12,665","13,744","13,855","13,208","17,256","20,604","20,896","24,058"
Operating Profit,"1,780","1,945","4,437","2,649","2,288","2,317","2,382","2,954","2,061","2,404","4,272","4,095"
OPM %,15%,15%,22%,20%,15%,14%,15%,18%,11%,10%,17%,15%
Other Income +,25,63,317,327,330,416,335,205,315,245,306,406
Interest,196,232,361,257,259,273,301,282,263,326,361,368
Depreciation,374,424,737,611,707,808,982,"1,141","1,205","1,253","1,430","1,654"
Profit before tax,"1,235","1,353","3,656","2,109","1,653","1,652","1,434","1,737",908,"1,070","2,787","2,479"
Tax %,35%,33%,31%,30%,32%,32%,1%,26%,26%,28%,25%,25%
Net Profit +,809,908,"2,509","1,486","1,132","1,131","1,423","1,277",669,769,"2,081","1,869"
EPS in Rs,"1,906.58","2,141.71","5,916.93","3,504.33","2,668.20","2,665.82","3,354.22","3,011.15","1,577.96","1,813.04","4,907.26","4,407.54"
Dividend Payout %,2%,2%,2%,2%,2%,2%,3%,5%,10%,10%,4%,5%
