,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Sales +,"2,226","2,417","1,727","1,943","2,350","2,754","2,718","2,802","3,259","3,783","4,024","4,492"
Expenses +,"2,057","2,222","1,639","1,780","2,133","2,504","2,476","2,539","2,847","3,357","3,613","4,029"
Operating Profit,170,195,88,163,216,250,241,263,412,425,411,463
OPM %,8%,8%,5%,8%,9%,9%,9%,9%,13%,11%,10%,10%
Other Income +,9,8,92,27,37,44,34,31,44,70,119,135
Interest,33,34,25,30,32,37,34,27,13,10,13,20
Depreciation,47,55,52,59,69,77,82,93,113,121,128,118
Profit before tax,99,114,103,100,152,179,159,174,330,364,388,459
Tax %,28%,29%,15%,19%,19%,19%,10%,14%,11%,12%,9%,9%
Net Profit +,72,82,88,81,124,145,143,150,293,321,354,416
EPS in Rs,9.82,10.75,11.46,10.53,16.08,18.84,18.53,19.08,37.45,40.91,45.12,52.91
Dividend Payout %,19%,14%,13%,10%,10%,10%,11%,13%,11%,17%,16%,15%
