,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,857,"1,219",826,887,840,"1,349","1,048",923,961,"1,312",935,828,941
Expenses +,293,450,289,303,343,552,321,334,438,594,394,383,526
Operating Profit,564,770,537,584,498,797,728,589,523,719,541,444,415
OPM %,66%,63%,65%,66%,59%,59%,69%,64%,54%,55%,58%,54%,44%
Other Income +,61,104,89,100,91,122,112,140,142,149,172,146,183
Interest,4,2,3,2,2,3,2,2,2,2,4,4,3
Depreciation,70,213,80,114,80,90,219,115,108,113,196,113,117
Profit before tax,550,658,544,569,507,827,619,612,555,753,513,474,478
Tax %,25%,25%,25%,25%,25%,28%,25%,26%,25%,26%,20%,23%,22%
Net Profit +,410,494,407,425,380,592,465,454,415,560,409,363,372
EPS in Rs,10.41,12.53,10.34,10.78,9.65,15.02,11.79,11.52,10.52,14.20,10.38,9.21,9.43
Raw PDF,,,,,,,,,,,,,
