,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Revenue +,"5,392","7,299","9,970","12,746","18,487","26,374","26,673","31,641","41,411","54,974","69,709"
Interest,"2,274","2,959","3,853","4,696","6,723","9,608","9,519","9,855","12,701","18,886","24,992"
Expenses +,"1,752","2,354","3,250","4,115","5,454","9,159","10,839","11,880","12,693","16,099","21,754"
Financing Profit,"1,367","1,986","2,867","3,935","6,310","7,608","6,314","9,906","16,018","19,989","22,963"
Financing Margin %,25%,27%,29%,31%,34%,29%,24%,31%,39%,36%,33%
Other Income +,26,35,22,10,13,9,3,-17,-5,4,-2
Depreciation,36,56,71,102,144,295,325,385,485,683,881
Profit before tax,"1,357","1,965","2,817","3,843","6,179","7,322","5,992","9,504","15,528","19,310","22,080"
Tax %,34%,35%,35%,35%,35%,28%,26%,26%,26%,25%,24%
Net Profit +,898,"1,279","1,836","2,496","3,995","5,264","4,420","7,028","11,508","14,451","16,779"
EPS in Rs,1.79,2.37,3.34,4.32,6.91,8.75,7.33,11.61,19.01,23.35,26.77
Dividend Payout %,10%,10%,11%,9%,9%,11%,14%,17%,16%,15%,21%
