,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Sales +,"2,371","2,566","2,601","2,817","3,025","3,384","3,353","3,527","4,822","6,186","6,060","6,388"
Expenses +,"1,948","2,128","2,131","2,253","2,450","2,772","2,731","2,698","3,604","4,911","4,823","5,142"
Operating Profit,423,438,470,563,574,612,622,830,"1,219","1,274","1,237","1,246"
OPM %,18%,17%,18%,20%,19%,18%,19%,24%,25%,21%,20%,20%
Other Income +,31,24,24,27,15,37,36,39,87,62,67,74
Interest,104,84,58,64,52,49,50,33,23,79,74,50
Depreciation,157,154,152,149,140,131,137,147,141,174,189,208
Profit before tax,192,223,284,377,398,469,472,689,"1,142","1,084","1,040","1,063"
Tax %,26%,22%,26%,24%,27%,29%,20%,25%,26%,25%,23%,23%
Net Profit +,142,174,211,287,290,335,377,515,842,814,805,815
EPS in Rs,3.76,4.61,5.59,7.76,7.86,9.23,10.95,14.97,24.47,23.82,23.56,23.85
Dividend Payout %,19%,20%,18%,2%,2%,2%,8%,6%,1%,9%,21%,21%
