,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Sales +,"1,010","1,159",743,703,818,808,929,"1,033",968,"1,068","1,146","1,205"
Expenses +,789,850,556,564,597,596,676,735,765,816,860,914
Operating Profit,221,310,188,140,222,212,253,298,203,252,286,291
OPM %,22%,27%,25%,20%,27%,26%,27%,29%,21%,24%,25%,24%
Other Income +,10,15,13,-25,24,43,46,46,41,55,63,46
Interest,0,0,0,0,1,1,0,1,0,0,0,0
Depreciation,16,15,27,30,25,23,26,22,21,21,28,40
Profit before tax,214,310,173,84,220,231,273,321,223,286,321,297
Tax %,2%,3%,3%,8%,4%,6%,5%,3%,4%,5%,7%,5%
Net Profit +,209,301,167,77,211,217,260,311,213,273,300,282
EPS in Rs,30.42,43.68,24.31,11.27,31.96,34.45,42.94,51.47,36.43,48.59,58.08,54.69
Dividend Payout %,16%,17%,10%,0%,9%,9%,7%,8%,11%,8%,9%,0%
