,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Sales +,"1,022","1,144","1,210","1,344","1,408","1,643","1,775","2,043","2,424","3,149","3,484","3,918"
Expenses +,874,964,"1,004","1,112","1,191","1,337","1,397","1,482","1,881","2,454","2,587","2,886"
Operating Profit,148,180,206,232,218,306,378,560,543,696,897,"1,032"
OPM %,14%,16%,17%,17%,15%,19%,21%,27%,22%,22%,26%,26%
Other Income +,-27,11,58,50,37,41,41,112,39,10,37,38
Interest,6,7,11,5,3,5,3,7,5,36,44,12
Depreciation,28,39,41,47,57,56,66,69,73,114,138,171
Profit before tax,87,146,212,230,194,287,349,597,505,555,752,887
Tax %,30%,31%,23%,20%,28%,32%,22%,25%,24%,26%,26%,26%
Net Profit +,62,100,163,184,139,194,272,449,386,410,553,660
EPS in Rs,3.63,5.92,9.58,10.85,8.28,12.05,17.60,28.98,24.93,26.48,35.61,42.37
Dividend Payout %,41%,118%,26%,5%,12%,21%,31%,28%,33%,34%,34%,37%
