,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Sales +,"1,188","1,543","1,796","2,129","2,551","2,852","2,946","2,833","3,886","4,714","4,569","4,935"
Expenses +,931,"1,223","1,419","1,714","2,010","2,234","2,412","2,305","3,099","3,851","3,709","3,872"
Operating Profit,256,320,376,415,542,618,533,528,787,863,860,"1,063"
OPM %,22%,21%,21%,19%,21%,22%,18%,19%,20%,18%,19%,22%
Other Income +,6,8,10,24,21,36,25,19,21,15,32,62
Interest,15,18,19,19,18,17,34,30,34,41,45,46
Depreciation,14,18,24,25,28,31,61,63,65,78,91,99
Profit before tax,233,293,343,395,518,606,462,453,709,758,756,979
Tax %,34%,33%,33%,33%,33%,35%,26%,25%,24%,25%,25%,25%
Net Profit +,154,196,232,266,347,394,343,341,537,571,569,729
EPS in Rs,137.87,175.74,207.57,238.73,311.08,353.19,307.71,305.35,481.02,512.15,510.31,653.71
Dividend Payout %,44%,41%,41%,41%,42%,97%,52%,82%,77%,49%,72%,138%
