,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025
Sales +,"1,340","1,549","1,850","1,484","3,239","1,866","1,774","2,419","3,141","1,825","1,360",561,468
Expenses +,"1,294","1,517","1,849","1,427","3,323","2,084","1,945","2,609","3,289","2,005","1,382",542,464
Operating Profit,46,32,2,57,-84,-218,-172,-190,-148,-179,-22,19,4
OPM %,3%,2%,0%,4%,-3%,-12%,-10%,-8%,-5%,-10%,-2%,3%,1%
Other Income +,49,15,84,35,221,224,187,176,174,270,"-1,225",40,231
Interest,28,46,56,79,68,66,74,114,150,170,102,55,52
Depreciation,28,30,34,36,41,57,43,69,70,69,52,33,34
Profit before tax,40,-28,-5,-23,27,-118,-102,-197,-194,-148,"-1,400",-29,149
Tax %,0%,3%,-289%,54%,-6%,1%,0%,-1%,1%,3%,-0%,0%,0%
Net Profit +,39,-29,9,-35,29,-119,-102,-196,-195,-152,"-1,400",-29,149
EPS in Rs,-0.03,-0.35,-0.07,-0.35,-0.37,-0.79,-0.56,-1.05,-1.20,-0.92,-9.31,-0.20,0.96
Raw PDF,,,,,,,,,,,,,
