,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales +,"81,809","94,648","108,646","117,966","123,104","146,463","156,949","164,177","191,754","225,458","240,893","255,324","256,148"
Expenses +,"56,657","70,167","77,969","85,655","90,588","106,957","114,840","117,631","138,697","166,199","176,597","187,917","188,528"
Operating Profit,"25,153","24,482","30,677","32,311","32,516","39,506","42,109","46,546","53,057","59,259","64,296","67,407","67,620"
OPM %,31%,26%,28%,27%,26%,27%,27%,28%,28%,26%,27%,26%,26%
Other Income +,"1,637","3,720","3,084","4,221","3,642","4,311","4,592","1,916","4,018","3,449","3,464","3,962","4,660"
Interest,39,104,33,32,52,198,924,637,784,779,778,796,818
Depreciation,"1,349","1,799","1,888","1,987","2,014","2,056","3,529","4,065","4,604","5,022","4,985","5,242","5,383"
Profit before tax,"25,402","26,298","31,840","34,513","34,092","41,563","42,248","43,760","51,687","56,907","61,997","65,331","66,079"
Tax %,24%,24%,24%,24%,24%,24%,23%,26%,26%,26%,26%,25%,
Net Profit +,"19,332","20,060","24,338","26,357","25,880","31,562","32,447","32,562","38,449","42,303","46,099","48,797","49,511"
EPS in Rs,48.92,50.68,61.58,66.71,67.46,83.87,86.19,87.67,104.75,115.19,126.88,134.20,136.20
Dividend Payout %,33%,78%,35%,35%,37%,36%,85%,43%,41%,100%,58%,94%,
