,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Sales +,160,195,263,311,321,361,432,291,337,546,678,732
Expenses +,50,56,75,97,103,128,154,105,117,179,252,294
Operating Profit,110,138,189,215,218,233,278,186,220,367,426,438
OPM %,69%,71%,72%,69%,68%,64%,64%,64%,65%,67%,63%,60%
Other Income +,18,28,33,43,36,32,43,65,44,45,105,114
Interest,0,0,4,5,6,5,6,8,9,12,14,12
Depreciation,11,7,7,8,11,12,22,26,28,33,54,50
Profit before tax,117,160,211,244,238,248,292,216,226,367,463,489
Tax %,31%,30%,32%,30%,25%,27%,20%,20%,16%,21%,22%,23%
Net Profit +,81,112,144,170,179,180,234,172,189,291,363,375
EPS in Rs,11.49,15.82,20.45,24.11,25.36,25.61,33.19,24.48,26.85,41.25,51.49,53.25
Dividend Payout %,9%,8%,8%,9%,9%,10%,9%,12%,11%,11%,12%,12%
