,Dec 2013,"Mar 2015
            
              15m",Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Sales +,"2,563","3,305","2,838","2,908","2,871","3,128","3,224","2,926","3,278","3,252","3,454","3,749"
Expenses +,"2,034","2,672","2,360","2,489","2,363","2,527","2,567","2,327","2,516","2,447","2,545","2,570"
Operating Profit,528,633,478,420,508,601,657,598,762,804,909,"1,179"
OPM %,21%,19%,17%,14%,18%,19%,20%,20%,23%,25%,26%,31%
Other Income +,203,149,125,119,70,131,-262,9,"1,401",103,-21,149
Interest,0,0,0,0,0,1,6,4,2,2,2,1
Depreciation,20,25,25,27,38,49,83,79,68,66,70,67
Profit before tax,711,756,578,511,540,683,306,525,"2,093",839,816,"1,260"
Tax %,32%,37%,35%,34%,35%,35%,70%,32%,19%,27%,28%,26%
Net Profit +,482,476,376,337,351,445,93,358,"1,695",611,590,928
EPS in Rs,28.43,28.12,22.20,19.88,20.70,26.29,5.50,21.14,100.04,36.05,34.83,54.75
Dividend Payout %,88%,111%,113%,75%,85%,76%,727%,142%,90%,89%,92%,99%
