,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,"1,485","1,643","1,696","1,752","1,903","1,874","2,002","1,979","2,192","2,228","2,413","2,516","2,753"
Expenses +,"1,319","1,456","1,437","1,475","1,627","1,609","1,693","1,718","1,908","1,900","2,118","2,185","2,406"
Operating Profit,166,186,260,277,275,265,309,261,284,327,295,331,347
OPM %,11%,11%,15%,16%,14%,14%,15%,13%,13%,15%,12%,13%,13%
Other Income +,12,16,11,60,199,29,43,579,42,33,29,34,71
Interest,17,5,5,4,2,1,0,1,1,1,2,1,3
Depreciation,23,24,25,23,25,24,23,24,24,24,28,28,32
Profit before tax,139,173,241,310,447,270,329,816,301,336,294,335,384
Tax %,20%,25%,26%,26%,5%,24%,26%,8%,22%,28%,25%,29%,29%
Net Profit +,112,130,179,228,426,204,242,748,234,241,220,238,274
EPS in Rs,0.77,0.85,1.17,1.49,2.79,1.33,1.59,4.89,1.53,1.58,1.45,1.57,1.78
Raw PDF,,,,,,,,,,,,,
