,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Sales +,282,250,321,401,499,258,267,168,383,616,891,960
Expenses +,151,119,117,195,304,188,320,216,248,364,267,180
Operating Profit,131,132,204,207,195,71,-53,-48,134,252,624,779
OPM %,46%,53%,64%,51%,39%,27%,-20%,-29%,35%,41%,70%,81%
Other Income +,5,7,2,6,8,6,2,10,1,4,6,34
Interest,65,64,100,93,101,92,80,75,36,13,4,4
Depreciation,3,4,4,4,3,2,2,2,2,3,7,7
Profit before tax,69,72,102,116,100,-17,-132,-114,97,240,620,802
Tax %,27%,27%,31%,36%,49%,-256%,-10%,-8%,27%,57%,26%,25%
Net Profit +,50,53,70,75,51,27,-120,-105,71,102,461,598
EPS in Rs,10.19,11.27,12.56,14.16,10.32,5.39,-24.30,-21.38,8.47,12.25,55.25,71.72
Dividend Payout %,17%,15%,11%,14%,17%,9%,0%,0%,0%,20%,20%,7%
