,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025
Sales +,328,389,389,425,414,485,474,565,392,508,529,798,491
Expenses +,263,296,300,332,314,366,353,429,300,396,386,602,360
Operating Profit,65,93,89,93,100,119,120,135,92,112,143,195,130
OPM %,20%,24%,23%,22%,24%,24%,25%,24%,24%,22%,27%,24%,27%
Other Income +,4,5,4,9,9,14,11,16,17,14,17,21,108
Interest,4,3,2,5,2,3,1,2,2,2,3,5,6
Depreciation,11,12,12,14,12,13,13,13,13,13,16,19,25
Profit before tax,54,83,79,84,94,117,117,136,94,111,140,192,207
Tax %,21%,22%,20%,19%,23%,24%,23%,24%,22%,21%,23%,24%,15%
Net Profit +,42,65,63,68,73,89,90,104,73,88,108,146,175
EPS in Rs,1.89,2.90,2.80,3.03,3.25,3.95,4.03,4.62,3.27,3.91,4.79,6.53,7.82
Raw PDF,,,,,,,,,,,,,
