,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Sales +,485,584,635,572,676,652,606,630,841,925,"1,592","3,212"
Expenses +,240,293,392,381,401,434,478,429,489,609,967,"1,458"
Operating Profit,245,290,243,190,274,219,127,202,352,316,626,"1,754"
OPM %,51%,50%,38%,33%,41%,34%,21%,32%,42%,34%,39%,55%
Other Income +,-18,-10,23,137,529,56,62,19,52,78,504,112
Interest,0,1,0,1,1,1,2,10,28,37,39,0
Depreciation,32,59,54,50,45,51,51,58,48,60,95,113
Profit before tax,194,221,212,276,757,223,135,153,327,297,996,"1,754"
Tax %,18%,20%,17%,4%,7%,10%,11%,7%,25%,31%,22%,25%
Net Profit +,160,177,177,265,702,199,121,142,245,206,772,"1,322"
EPS in Rs,1.45,1.66,1.38,4.57,14.22,4.27,3.02,3.58,6.27,5.43,19.17,32.65
Dividend Payout %,31%,33%,61%,68%,28%,78%,63%,65%,72%,74%,26%,23%
