,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Sales +,"1,096","1,013","1,218","1,351","1,497","2,047","2,474","1,905","2,662","2,628","2,453","2,218"
Expenses +,816,664,871,"1,005","1,071","1,469","1,811","1,353","1,933","1,869","1,792","1,703"
Operating Profit,280,348,347,347,427,578,663,552,729,759,661,515
OPM %,26%,34%,29%,26%,28%,28%,27%,29%,27%,29%,27%,23%
Other Income +,127,147,208,210,154,200,268,101,84,103,92,118
Interest,2,2,1,14,25,10,10,9,13,21,21,6
Depreciation,20,26,37,38,36,38,47,52,66,67,61,62
Profit before tax,385,468,518,505,519,730,874,593,735,774,670,565
Tax %,32%,33%,34%,33%,31%,33%,28%,25%,27%,26%,26%,25%
Net Profit +,261,312,340,337,357,490,633,444,539,571,495,424
EPS in Rs,10.42,12.49,13.55,6.57,6.85,9.39,12.32,9.00,10.74,11.28,9.48,8.01
Dividend Payout %,20%,20%,40%,46%,32%,54%,65%,72%,79%,91%,95%,110%
