,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,TTM
Sales +,"2,710","3,017","2,987","2,605","3,336","3,959","4,189","4,186"
Expenses +,"2,211","2,481","2,537","2,345","2,947","3,355","3,430","3,396"
Operating Profit,499,536,450,259,389,604,759,791
OPM %,18%,18%,15%,10%,12%,15%,18%,19%
Other Income +,55,60,46,25,37,68,78,86
Interest,2,1,4,2,4,7,3,5
Depreciation,44,44,59,62,55,58,53,53
Profit before tax,508,551,433,220,368,607,781,819
Tax %,34%,33%,26%,26%,26%,26%,25%,
Net Profit +,333,366,322,162,272,451,583,611
EPS in Rs,295.91,325.06,285.99,144.14,241.43,400.37,517.90,542.69
Dividend Payout %,0%,0%,0%,0%,0%,237%,132%,
