,Jun 2022,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,433,472,489,527,512,501,490,557,589
Expenses +,336,353,369,395,380,372,371,430,454
Operating Profit,97,119,120,132,133,129,119,127,135
OPM %,22%,25%,25%,25%,26%,26%,24%,23%,23%
Other Income +,4,8,11,4,7,6,13,12,13
Interest,0,1,1,0,1,1,0,0,0
Depreciation,12,12,13,15,18,14,15,15,18
Profit before tax,89,115,118,121,121,120,117,124,130
Tax %,26%,28%,26%,25%,21%,26%,26%,26%,26%
Net Profit +,66,83,87,91,96,89,87,92,96
EPS in Rs,"61,880.00",3.97,4.10,4.00,4.18,3.89,3.70,3.91,3.99
Raw PDF,,,,,,,,,
