,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Sales +,"1,688","1,718","1,412","1,767","2,755","2,586","2,298","3,139","4,474","5,059","5,186"
Expenses +,"1,388","1,431","1,155","1,501","2,348","2,159","1,898","2,644","3,699","4,162","4,363"
Operating Profit,300,287,257,266,407,427,400,495,776,897,824
OPM %,18%,17%,18%,15%,15%,16%,17%,16%,17%,18%,16%
Other Income +,26,16,14,32,41,59,43,38,32,73,60
Interest,9,6,6,10,15,21,23,21,31,45,37
Depreciation,54,57,60,61,62,59,57,80,83,98,108
Profit before tax,262,240,205,228,371,406,363,431,694,828,738
Tax %,34%,31%,30%,33%,32%,24%,24%,25%,26%,24%,27%
Net Profit +,173,165,144,152,253,308,276,323,512,625,542
EPS in Rs,24.74,23.58,20.55,21.65,36.08,43.87,39.37,46.03,72.83,88.85,77.61
Dividend Payout %,15%,16%,18%,18%,17%,18%,24%,20%,16%,16%,18%
