,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Sales +,"3,741","3,905","4,131","4,427","4,527","4,959","4,861","4,984","5,221","5,698","6,373","6,847"
Expenses +,"2,342","2,354","2,520","2,693","2,716","2,814","2,633","2,515","2,723","3,227","3,590","3,770"
Operating Profit,"1,399","1,551","1,612","1,734","1,811","2,145","2,229","2,469","2,499","2,471","2,782","3,076"
OPM %,37%,40%,39%,39%,40%,43%,46%,50%,48%,43%,44%,45%
Other Income +,674,348,189,93,91,176,177,132,134,192,342,304
Interest,0,0,0,0,0,0,47,19,12,13,28,0
Depreciation,72,68,53,70,61,54,106,104,93,81,74,69
Profit before tax,"2,001","1,831","1,748","1,757","1,840","2,267","2,252","2,477","2,528","2,570","3,022","3,311"
Tax %,32%,35%,40%,33%,33%,39%,35%,29%,25%,30%,27%,28%
Net Profit +,"1,359","1,192","1,049","1,185","1,237","1,386","1,462","1,762","1,889","1,806","2,219","2,380"
EPS in Rs,161.55,140.91,123.61,139.28,144.82,161.57,170.26,204.72,219.00,209.05,256.07,273.95
Dividend Payout %,0%,472%,81%,122%,90%,0%,106%,98%,87%,108%,94%,97%
