,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Sales +,"4,687","5,733","6,017","5,918","6,322","7,334","7,315","8,048","9,512","9,764","9,653","10,831"
Expenses +,"3,939","4,863","4,966","4,759","5,185","6,009","5,846","6,459","7,831","7,954","7,627","8,692"
Operating Profit,748,870,"1,051","1,159","1,137","1,325","1,469","1,589","1,681","1,810","2,026","2,139"
OPM %,16%,15%,17%,20%,18%,18%,20%,20%,18%,19%,21%,20%
Other Income +,58,59,93,96,85,103,95,107,98,144,142,208
Interest,34,23,21,17,16,40,50,34,39,56,73,53
Depreciation,77,84,95,90,89,131,140,139,139,155,158,178
Profit before tax,695,822,"1,029","1,149","1,117","1,257","1,374","1,523","1,601","1,743","1,937","2,116"
Tax %,27%,29%,30%,29%,26%,10%,24%,21%,22%,24%,22%,22%
Net Profit +,504,585,723,811,827,"1,131","1,043","1,199","1,255","1,322","1,502","1,658"
EPS in Rs,3.76,4.45,5.51,6.19,6.31,8.63,7.91,9.08,9.48,10.07,11.44,12.57
Dividend Payout %,46%,28%,77%,57%,67%,55%,85%,83%,97%,45%,83%,83%
