,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Sales +,"2,333","2,284","1,686","1,812","2,157","2,630","3,486","2,593","4,498","8,242","12,375","17,135"
Expenses +,"2,343","2,196","1,596","1,679","1,949","2,390","2,957","2,479","3,903","7,128","10,404","14,315"
Operating Profit,-10,88,90,134,208,241,529,114,595,"1,114","1,971","2,820"
OPM %,-0%,4%,5%,7%,10%,9%,15%,4%,13%,14%,16%,16%
Other Income +,91,208,86,81,27,30,147,199,152,341,989,305
Interest,26,22,48,46,44,51,263,261,325,409,368,200
Depreciation,54,75,39,41,46,52,247,257,311,494,671,895
Profit before tax,1,200,90,128,147,168,165,-205,111,552,"1,921","2,030"
Tax %,"1,357%",35%,39%,34%,41%,44%,36%,-12%,69%,29%,23%,24%
Net Profit +,-19,129,55,85,87,95,106,-181,35,394,"1,477","1,534"
EPS in Rs,-0.56,3.89,1.66,2.55,2.62,2.92,3.46,-4.11,2.98,12.51,41.82,43.51
Dividend Payout %,-125%,26%,54%,39%,44%,45%,29%,-15%,57%,18%,8%,11%
