,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Sales +,397,275,226,452,652,371,267,427,961,"1,890","1,263","1,108"
Expenses +,381,245,191,343,453,271,269,331,714,"1,476",937,808
Operating Profit,17,29,35,109,199,101,-2,97,248,414,326,301
OPM %,4%,11%,16%,24%,31%,27%,-1%,23%,26%,22%,26%,27%
Other Income +,45,66,33,51,44,46,32,26,202,53,116,123
Interest,1,7,21,40,56,54,57,58,62,58,35,15
Depreciation,12,12,8,8,8,7,7,9,9,11,10,8
Profit before tax,48,75,39,112,179,85,-34,55,379,397,397,401
Tax %,36%,35%,60%,42%,39%,50%,-64%,40%,21%,27%,24%,22%
Net Profit +,31,49,15,66,109,43,-12,33,299,289,303,313
EPS in Rs,0.78,1.28,0.47,1.43,1.79,1.13,-0.19,0.86,5.83,6.96,8.09,7.53
Dividend Payout %,23%,14%,215%,25%,20%,75%,-191%,70%,22%,13%,20%,12%
