,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Sales +,"15,328","18,683","25,377","22,616","20,304","23,884","26,468","26,221","27,711","38,773","50,351","56,203"
Expenses +,"10,735","14,005","16,575","16,635","14,868","18,901","20,734","17,533","17,830","28,677","32,124","34,785"
Operating Profit,"4,593","4,678","8,802","5,980","5,436","4,983","5,734","8,688","9,881","10,096","18,228","21,418"
OPM %,30%,25%,35%,26%,27%,21%,22%,33%,36%,26%,36%,38%
Other Income +,137,"1,188",-201,"-3,666",754,"2,448",323,"1,909","3,908","4,216","9,883","2,590"
Interest,"4,162","4,864","5,560","5,902","5,570","5,657","5,315","5,106","4,095","3,334","3,388","3,340"
Depreciation,"1,937","1,818","2,666","2,672","2,699","2,751","3,006","3,202","3,118","3,304","3,931","4,309"
Profit before tax,"-1,370",-816,375,"-6,260","-2,079",-976,"-2,265","2,289","6,577","7,675","20,792","16,360"
Tax %,-79%,-0%,-47%,-1%,-0%,1%,0%,45%,25%,-40%,-0%,22%
Net Profit +,-291,-816,551,"-6,174","-2,103",-984,"-2,275","1,270","4,912","10,727","20,829","12,750"
EPS in Rs,-1.01,-2.84,1.65,-16.01,-5.45,-2.55,-5.90,3.29,12.73,27.81,54.00,33.55
Dividend Payout %,-0%,-0%,-0%,-0%,-0%,-0%,-0%,-0%,-0%,-0%,-0%,-0%
