,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Sales +,"7,058","7,795","7,780","7,614","7,722","8,515","8,685","9,562","10,889","11,530","12,404","12,563"
Expenses +,"5,897","6,475","6,261","6,102","6,104","6,775","6,892","7,560","8,637","9,367","10,004","10,247"
Operating Profit,"1,162","1,320","1,518","1,512","1,617","1,740","1,792","2,002","2,252","2,162","2,400","2,316"
OPM %,16%,17%,20%,20%,21%,20%,21%,21%,21%,19%,19%,18%
Other Income +,126,154,217,296,291,222,205,325,308,445,482,551
Interest,54,40,48,54,53,60,50,31,39,78,124,164
Depreciation,97,115,133,143,162,177,220,240,253,311,399,446
Profit before tax,"1,136","1,319","1,554","1,611","1,693","1,725","1,728","2,056","2,269","2,219","2,359","2,258"
Tax %,19%,19%,19%,21%,20%,16%,16%,18%,23%,23%,23%,23%
Net Profit +,916,"1,068","1,254","1,280","1,358","1,446","1,448","1,695","1,742","1,701","1,811","1,740"
EPS in Rs,5.24,6.07,7.11,7.25,7.69,8.17,8.18,9.58,9.84,9.64,10.40,9.97
Dividend Payout %,33%,33%,32%,31%,81%,34%,37%,50%,53%,54%,53%,80%
