,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Sales +,"6,518","7,093","7,354","8,656","10,401","12,164","12,968","14,109","15,368","17,734","20,268","23,769"
Expenses +,"5,593","5,913","5,961","6,864","8,361","9,255","10,209","10,895","12,024","13,645","15,217","16,935"
Operating Profit,925,"1,179","1,393","1,792","2,039","2,909","2,759","3,214","3,344","4,090","5,051","6,834"
OPM %,14%,17%,19%,21%,20%,24%,21%,23%,22%,23%,25%,29%
Other Income +,438,507,573,420,196,73,99,125,232,281,670,742
Interest,7,7,10,18,6,16,8,10,9,19,12,10
Depreciation,150,166,192,212,272,338,372,387,401,429,443,467
Profit before tax,"1,206","1,513","1,764","1,983","1,957","2,628","2,478","2,942","3,166","3,923","5,266","7,099"
Tax %,21%,21%,24%,24%,28%,30%,28%,30%,26%,25%,25%,26%
Net Profit +,952,"1,197","1,337","1,523","1,431","1,887","1,825","2,100","2,400","2,986","3,985","5,323"
EPS in Rs,1.20,1.51,1.69,2.07,1.96,2.58,2.50,2.87,3.28,4.08,5.45,7.28
Dividend Payout %,20%,20%,31%,33%,34%,44%,37%,46%,46%,44%,40%,33%
