,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Sales +,"3,681","3,686","3,815","4,535","5,765","6,485","4,941","7,710","14,133","14,000","14,928"
Expenses +,"2,887","2,910","2,851","3,409","4,506","4,949","3,446","5,816","12,089","11,612","12,955"
Operating Profit,794,775,964,"1,126","1,259","1,536","1,495","1,894","2,044","2,388","1,973"
OPM %,22%,21%,25%,25%,22%,24%,30%,25%,14%,17%,13%
Other Income +,31,78,108,153,213,293,240,401,469,596,695
Interest,30,10,1,2,2,20,22,25,27,28,10
Depreciation,149,156,167,181,201,252,290,317,363,414,476
Profit before tax,645,687,904,"1,096","1,269","1,556","1,422","1,953","2,122","2,542","2,183"
Tax %,33%,33%,33%,34%,34%,20%,18%,23%,23%,22%,22%
Net Profit +,448,458,606,722,842,"1,249","1,173","1,502","1,640","1,983","1,713"
EPS in Rs,3.20,3.27,4.33,5.16,6.02,8.92,8.38,10.73,11.71,14.18,12.27
Dividend Payout %,19%,18%,20%,19%,20%,16%,21%,26%,56%,32%,90%
