,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales +,308,347,427,512,621,661,673,779,974,"1,244","1,487","1,493"
Expenses +,251,307,357,415,493,556,480,584,762,956,"1,111","1,119"
Operating Profit,58,39,70,98,128,105,192,195,212,288,376,374
OPM %,19%,11%,16%,19%,21%,16%,29%,25%,22%,23%,25%,25%
Other Income +,8,3,8,8,20,21,15,30,34,48,64,70
Interest,2,4,5,5,9,11,6,3,4,4,5,5
Depreciation,4,4,5,6,6,20,20,18,25,28,33,34
Profit before tax,59,34,68,94,134,95,181,203,217,304,402,405
Tax %,21%,19%,25%,23%,23%,23%,30%,19%,19%,17%,22%,
Net Profit +,46,28,51,73,102,73,126,164,177,252,315,317
EPS in Rs,4.29,2.58,3.99,5.26,7.34,5.20,9.03,11.73,12.64,17.93,22.26,22.51
Dividend Payout %,14%,29%,18%,19%,20%,19%,19%,19%,20%,22%,22%,
