,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Sales +,322,390,411,454,519,610,687,785,922,"1,115","1,375","1,670"
Expenses +,246,304,323,361,397,479,520,569,707,847,"1,013","1,217"
Operating Profit,76,86,88,93,122,131,166,216,215,267,362,453
OPM %,24%,22%,21%,21%,23%,22%,24%,28%,23%,24%,26%,27%
Other Income +,11,28,8,14,16,20,21,22,40,38,60,94
Interest,9,10,10,8,12,14,20,11,6,11,14,12
Depreciation,14,19,21,24,29,37,41,48,54,57,64,83
Profit before tax,63,85,65,75,97,100,126,180,195,237,344,453
Tax %,30%,27%,27%,27%,27%,35%,24%,25%,25%,25%,25%,25%
Net Profit +,45,62,48,55,71,65,96,136,147,179,258,339
EPS in Rs,5.11,7.07,5.47,6.25,8.00,7.41,10.86,14.17,15.28,18.69,26.91,33.41
Dividend Payout %,20%,18%,27%,40%,25%,27%,18%,18%,16%,16%,11%,10%
