,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Sales +,"148,614","139,504","101,965","112,299","123,249","157,669","139,817","156,294","243,959","243,353","229,171","218,543"
Expenses +,"132,430","136,095","102,590","99,156","101,816","128,351","122,354","125,790","180,469","211,053","206,923","193,244"
Operating Profit,"16,184","3,409",-625,"13,144","21,433","29,318","17,463","30,504","63,490","32,300","22,248","25,298"
OPM %,11%,2%,-1%,12%,17%,19%,12%,20%,26%,13%,10%,12%
Other Income +,716,"5,994","10,346","-3,789","10,898","1,524","-2,884",180,"1,300","1,569","-6,005",877
Interest,"4,337","4,848","4,221","5,072","5,455","7,660","7,533","7,607","5,462","6,299","7,508","7,341"
Depreciation,"5,841","5,944","5,306","5,673","5,742","7,342","8,441","9,234","9,101","9,335","9,882","10,421"
Profit before tax,"6,722","-1,388",193,"-1,391","21,135","15,841","-1,395","13,844","50,227","18,235","-1,147","8,413"
Tax %,45%,185%,358%,200%,16%,42%,-184%,41%,17%,56%,328%,62%
Net Profit +,"3,665","-3,939",-497,"-4,169","17,743","9,122","1,174","8,190","41,749","8,075","-4,910","3,174"
EPS in Rs,3.19,-3.48,-0.34,-3.76,11.93,9.07,1.38,6.26,32.88,7.17,-3.55,2.74
Dividend Payout %,27%,-20%,-203%,-23%,9%,15%,74%,40%,16%,50%,-101%,131%
