,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales +,"1,860","2,010","2,049","2,258","2,311","2,463","2,224","1,508","1,769","2,129","2,402","2,339","2,309"
Expenses +,"1,358","1,446","1,512","1,614","1,746","1,957","1,740","1,201","1,463","1,806","1,779","1,794","1,818"
Operating Profit,502,564,538,644,565,506,484,307,305,324,623,545,491
OPM %,27%,28%,26%,29%,24%,21%,22%,20%,17%,15%,26%,23%,21%
Other Income +,23,24,21,15,23,15,10,25,17,38,81,82,83
Interest,8,8,14,7,7,8,25,24,18,21,24,25,25
Depreciation,64,88,85,86,92,99,121,115,110,112,114,104,100
Profit before tax,452,492,460,565,488,414,348,193,195,228,565,499,449
Tax %,32%,36%,36%,34%,34%,34%,21%,27%,27%,26%,25%,26%,
Net Profit +,307,316,292,375,324,274,275,141,143,169,426,371,334
EPS in Rs,16.71,17.23,15.90,20.38,17.60,15.66,15.72,8.08,8.05,9.50,23.89,20.82,18.74
Dividend Payout %,43%,45%,69%,40%,1%,64%,64%,37%,62%,63%,54%,58%,
