,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Sales +,"3,605","4,094","3,505","4,457","4,614","4,905","4,048","5,733","7,827","9,467","11,432"
Expenses +,"3,383","3,874","3,375","4,300","4,353","4,642","3,822","5,292","7,027","8,051","9,372"
Operating Profit,222,221,129,157,261,263,226,441,801,"1,416","2,060"
OPM %,6%,5%,4%,4%,6%,5%,6%,8%,10%,15%,18%
Other Income +,563,761,766,565,617,546,448,396,687,"1,101","1,121"
Interest,8,16,17,20,36,13,11,14,9,9,4
Depreciation,31,44,39,52,64,69,60,75,76,83,115
Profit before tax,746,922,839,650,778,727,604,749,"1,403","2,425","3,062"
Tax %,34%,39%,37%,39%,40%,48%,25%,25%,25%,25%,26%
Net Profit +,516,596,585,496,532,471,514,611,"1,119","1,937","2,414"
EPS in Rs,129.59,149.63,117.49,11.07,11.88,11.66,12.74,15.14,27.74,48.02,59.83
Dividend Payout %,19%,17%,34%,49%,19%,46%,28%,29%,29%,29%,22%
