,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,384,329,274,277,308,302,275,247,332,531,315,242,488
Expenses +,302,295,237,233,285,276,234,203,275,420,251,213,381
Operating Profit,82,34,37,44,23,26,41,44,57,111,64,29,107
OPM %,21%,10%,14%,16%,7%,9%,15%,18%,17%,21%,20%,12%,22%
Other Income +,16,12,14,14,10,14,11,15,9,9,20,-39,11
Interest,2,2,2,3,3,3,2,3,2,3,2,2,3
Depreciation,6,6,6,7,7,7,7,6,6,5,6,6,5
Profit before tax,90,38,43,48,23,30,43,50,58,112,76,-18,110
Tax %,29%,24%,26%,19%,30%,20%,19%,18%,17%,21%,26%,-44%,28%
Net Profit +,64,29,32,39,16,24,35,41,48,88,56,-10,79
EPS in Rs,9.01,4.15,4.72,5.57,2.29,3.48,5.08,5.95,6.96,12.76,8.12,-1.45,11.46
Raw PDF,,,,,,,,,,,,,
