,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales +,"43,424","46,951","51,244","55,448","54,487","59,019","61,138","61,935","79,312","90,488","89,760","89,088","89,259"
Expenses +,"33,788","36,652","40,448","44,128","44,100","47,406","48,795","47,164","62,628","73,649","73,008","71,067","71,359"
Operating Profit,"9,635","10,299","10,796","11,321","10,387","11,613","12,342","14,771","16,684","16,839","16,752","18,021","17,900"
OPM %,22%,22%,21%,20%,19%,20%,20%,24%,21%,19%,19%,20%,20%
Other Income +,"1,922","2,450","2,752","2,623","2,550","2,614","2,728","2,404","2,067","2,275","2,631","3,909","4,256"
Interest,383,350,558,594,583,738,733,509,532,"1,008","1,255","1,477","1,509"
Depreciation,"1,060","1,175","1,496","2,310","2,112","1,947","2,086","2,763","3,078","3,340","3,407","2,958","2,914"
Profit before tax,"10,114","11,224","11,494","11,039","10,242","11,542","12,252","13,903","15,141","14,766","14,721","17,496","17,732"
Tax %,21%,22%,22%,23%,22%,22%,20%,22%,19%,23%,25%,24%,
Net Profit +,"7,991","8,714","8,957","8,518","8,003","9,018","9,772","10,868","12,243","11,366","11,112","13,218","13,518"
EPS in Rs,6.04,6.58,6.76,6.55,6.63,7.46,8.51,9.85,11.15,10.34,10.57,12.54,12.86
Dividend Payout %,25%,34%,17%,6%,6%,7%,6%,5%,27%,5%,5%,48%,
