,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Revenue +,"49,479","54,964","59,294","60,940","62,162","71,982","84,836","89,163","95,407","121,067","159,516","186,331"
Interest,"29,711","32,318","33,996","34,836","34,262","39,178","44,666","42,659","41,167","50,543","74,108","89,028"
Expenses +,"32,852","38,766","52,252","63,841","72,806","83,775","85,361","91,309","80,798","87,864","99,560","132,706"
Financing Profit,"-13,084","-16,120","-26,955","-37,737","-44,906","-50,971","-45,190","-44,805","-26,558","-17,341","-14,152","-35,402"
Financing Margin %,-26%,-29%,-45%,-62%,-72%,-71%,-53%,-50%,-28%,-14%,-9%,-19%
Other Income +,"30,085","35,252","42,102","52,458","56,807","59,325","64,950","72,174","62,129","65,112","76,522","108,255"
Depreciation,719,798,843,912,922,946,"1,171","1,340","1,330","1,515","1,935",0
Profit before tax,"16,282","18,334","14,304","13,809","10,978","7,408","18,589","26,028","34,241","46,256","60,434","72,854"
Tax %,28%,29%,24%,18%,17%,23%,40%,22%,25%,26%,26%,25%
Net Profit +,"11,677","12,942","10,927","11,340","9,100","5,689","11,225","20,364","26,538","35,461","46,081","54,569"
EPS in Rs,17.38,19.20,15.92,15.90,12.00,6.60,14.78,26.58,36.14,48.74,63.02,71.65
Dividend Payout %,24%,24%,29%,14%,12%,15%,0%,8%,14%,16%,16%,15%
