,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,490,445,525,442,436,475,509,487,558,578,612,593,639
Expenses +,425,388,453,382,376,414,441,422,483,499,532,516,554
Operating Profit,65,56,72,60,60,61,68,65,75,79,81,78,85
OPM %,13%,13%,14%,14%,14%,13%,13%,13%,13%,14%,13%,13%,13%
Other Income +,1,1,2,3,5,4,4,5,4,3,4,4,9
Interest,3,2,2,2,2,2,0,0,0,0,0,0,0
Depreciation,18,16,16,16,16,14,13,15,16,15,16,16,17
Profit before tax,45,40,57,45,47,48,58,55,62,66,68,65,77
Tax %,25%,27%,28%,30%,19%,26%,25%,26%,25%,26%,26%,27%,24%
Net Profit +,34,29,41,32,38,36,43,40,46,49,50,47,59
EPS in Rs,12.82,11.07,15.50,12.14,14.46,13.50,16.53,15.40,17.56,18.58,19.06,17.86,22.36
Raw PDF,,,,,,,,,,,,,
