,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Sales +,"19,286","19,401","19,469","21,603","33,286","46,966","37,923","34,579","51,166","53,212","50,354","49,765"
Expenses +,"13,487","13,937","16,032","16,894","26,817","38,553","31,092","23,646","35,650","43,270","40,153","40,280"
Operating Profit,"5,799","5,464","3,437","4,709","6,469","8,412","6,831","10,933","15,515","9,942","10,202","9,485"
OPM %,30%,28%,18%,22%,19%,18%,18%,32%,30%,19%,20%,19%
Other Income +,349,"-1,399",-79,-362,-584,"-1,470",74,313,"-1,840",-539,156,"-1,062"
Interest,"1,807","2,875","3,254","3,441","3,866","4,264","3,768","2,753","1,888","1,446","1,294","1,312"
Depreciation,"1,829","2,733","4,068","3,949","3,883","5,480","3,429","2,414","2,097","2,691","2,822","2,768"
Profit before tax,"2,512","-1,543","-3,964","-3,043","-1,864","-2,802",-291,"6,078","9,690","5,266","6,241","4,344"
Tax %,25%,-6%,-22%,-17%,-13%,-14%,37%,30%,30%,25%,5%,34%
Net Profit +,"1,896","-1,452","-3,087","-2,538","-1,616","-2,412",-400,"4,267","6,766","3,974","5,943","2,846"
EPS in Rs,20.88,-13.97,-32.42,-24.93,-14.56,-17.00,-1.07,35.62,56.40,31.11,58.21,27.57
Dividend Payout %,7%,0%,0%,0%,0%,0%,0%,0%,5%,6%,3%,7%
