,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Sales +,917,"1,009","1,185","1,352","1,224","1,224","1,446","1,810","1,879","1,926"
Expenses +,776,833,"1,008","1,153","1,057","1,066","1,217","1,510","1,576","1,624"
Operating Profit,141,176,177,199,167,158,229,301,304,302
OPM %,15%,17%,15%,15%,14%,13%,16%,17%,16%,16%
Other Income +,10,15,14,18,17,25,18,23,58,57
Interest,5,10,10,9,10,10,5,6,6,7
Depreciation,16,22,27,28,39,40,32,33,37,41
Profit before tax,129,158,155,180,135,134,209,285,319,311
Tax %,36%,37%,32%,36%,18%,25%,27%,26%,24%,20%
Net Profit +,83,100,106,115,111,100,153,211,241,249
EPS in Rs,64.17,78.23,79.33,88.51,87.08,77.48,116.18,161.00,183.76,189.51
Dividend Payout %,14%,15%,15%,15%,15%,17%,30%,31%,33%,34%
