,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Sales +,"6,023","11,335","20,533","24,507","32,862","42,605","54,351","60,592","68,406","82,072","110,382","133,822"
Expenses +,"1,531","5,823","13,795","15,794","22,074","27,569","36,094","40,950","46,951","52,204","69,497","84,298"
Operating Profit,"4,491","5,511","6,739","8,713","10,788","15,037","18,258","19,641","21,455","29,868","40,886","49,524"
OPM %,75%,49%,33%,36%,33%,35%,34%,32%,31%,36%,37%,37%
Other Income +,3,8,0,0,1,2,0,-7,8,1,-4,-18
Interest,"1,562","2,230","2,877","3,716","4,531","6,657","9,500","9,274","9,629","12,380","18,607","24,587"
Depreciation,31,38,58,73,160,226,457,498,563,678,900,"1,170"
Profit before tax,"2,902","3,251","3,804","4,925","6,099","8,155","8,302","9,862","11,271","16,811","21,375","23,748"
Tax %,24%,26%,27%,30%,32%,34%,28%,25%,26%,27%,27%,26%
Net Profit +,"2,191","2,409","2,775","3,450","4,176","5,374","5,994","7,367","8,314","12,210","15,595","17,558"
EPS in Rs,9.71,10.62,11.71,14.21,16.65,20.23,21.17,28.09,28.63,40.29,51.07,55.57
Dividend Payout %,2%,2%,1%,1%,1%,1%,2%,1%,1%,2%,2%,2%
