,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,954,784,864,958,"1,125",900,913,965,"1,224","1,031","1,036","1,144","1,281"
Expenses +,860,743,801,808,980,790,818,841,"1,033",919,894,978,"1,092"
Operating Profit,95,41,63,149,145,110,95,124,191,112,142,166,190
OPM %,10%,5%,7%,16%,13%,12%,10%,13%,16%,11%,14%,14%,15%
Other Income +,4,7,4,-0,13,10,2,16,36,15,14,11,24
Interest,8,7,8,12,8,8,6,5,8,6,6,8,6
Depreciation,17,16,17,18,18,18,19,21,21,21,22,22,24
Profit before tax,73,24,42,119,132,95,72,114,199,100,129,146,184
Tax %,35%,38%,29%,25%,31%,30%,34%,27%,28%,29%,26%,22%,33%
Net Profit +,55,16,31,89,101,64,51,82,153,66,97,118,138
EPS in Rs,6.86,1.94,3.87,11.17,12.62,8.02,6.35,10.31,19.17,8.20,12.05,14.76,17.27
Raw PDF,,,,,,,,,,,,,
