,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales +,"17,166","27,215","18,141","30,647","32,260","38,855","29,380","71,528","67,126","70,207","101,482","92,922","99,451"
Expenses +,"16,561","26,341","17,187","29,674","31,186","37,640","28,239","70,294","66,348","70,127","100,836","91,894","98,497"
Operating Profit,605,874,953,972,"1,074","1,215","1,141","1,235",778,80,646,"1,028",955
OPM %,4%,3%,5%,3%,3%,3%,4%,2%,1%,0%,1%,1%,1%
Other Income +,241,79,108,139,282,136,369,445,766,"1,437",410,366,538
Interest,11,-14,8,9,11,14,0,0,0,0,0,0,0
Depreciation,41,43,45,41,44,45,47,51,56,76,79,104,0
Profit before tax,794,924,"1,008","1,061","1,300","1,291","1,463","1,629","1,487","1,441",977,"1,290","1,493"
Tax %,9%,15%,19%,16%,15%,1%,11%,16%,11%,5%,-61%,-40%,
Net Profit +,725,786,817,887,"1,107","1,278","1,297","1,361","1,327","1,368","1,574","1,811","1,880"
EPS in Rs,3.64,3.94,4.09,4.44,5.50,6.33,6.43,6.73,6.28,6.37,7.32,8.41,8.73
Dividend Payout %,14%,18%,22%,25%,25%,26%,0%,30%,27%,30%,27%,25%,
