,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Sales +,"1,530","2,007","2,505","3,041","3,624","4,448","5,201","4,881","6,480","7,870","9,322","11,156"
Expenses +,"1,518","1,983","2,479","3,004","3,556","4,354","5,108","4,784","6,337","7,748","9,191","11,018"
Operating Profit,12,24,26,37,69,94,93,97,142,122,131,138
OPM %,1%,1%,1%,1%,2%,2%,2%,2%,2%,2%,1%,1%
Other Income +,8,11,15,22,16,18,31,32,-52,41,50,45
Interest,0,0,1,1,2,5,12,7,4,6,10,15
Depreciation,2,3,3,6,9,11,29,34,41,43,53,54
Profit before tax,18,33,38,52,73,96,83,89,46,115,118,114
Tax %,0%,6%,34%,-12%,-1%,-2%,58%,11%,13%,3%,4%,4%
Net Profit +,18,31,25,58,73,98,35,78,39,112,113,110
EPS in Rs,34.95,60.23,14.51,33.67,42.97,57.34,20.46,45.33,22.48,65.12,66.88,64.86
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
