,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,486,503,534,489,491,541,601,539,545,602,660,597,603
Expenses +,364,385,390,376,375,395,424,398,401,432,458,443,434
Operating Profit,121,118,144,113,116,146,178,141,145,170,202,154,169
OPM %,25%,23%,27%,23%,24%,27%,30%,26%,27%,28%,31%,26%,28%
Other Income +,12,8,9,10,14,14,18,18,18,21,22,25,26
Interest,12,8,11,9,9,8,8,7,7,6,6,5,5
Depreciation,38,36,39,38,38,35,36,36,37,35,35,36,36
Profit before tax,84,81,103,76,83,118,152,116,120,150,183,138,153
Tax %,26%,28%,30%,30%,32%,29%,27%,29%,28%,28%,29%,29%,-1%
Net Profit +,62,58,72,54,57,84,111,82,86,108,131,98,156
EPS in Rs,7.35,6.92,8.60,6.33,6.80,9.90,13.09,9.74,10.12,12.75,15.46,11.57,18.52
Raw PDF,,,,,,,,,,,,,
