,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales +,"21,888","34,453","20,849","37,816","38,832","41,463","21,025","83,182","63,564","50,478","89,683","70,778","70,783"
Expenses +,"20,384","32,798","19,008","36,010","37,062","40,922","21,344","83,572","65,728","52,235","90,580","69,635","69,595"
Operating Profit,"1,504","1,655","1,842","1,806","1,771",541,-319,-390,"-2,163","-1,757",-897,"1,144","1,188"
OPM %,7%,5%,9%,5%,5%,1%,-2%,-0%,-3%,-3%,-1%,2%,2%
Other Income +,129,43,0,130,132,813,"1,578","1,669","3,191","2,925","2,039",572,513
Interest,15,17,0,15,20,23,0,0,0,0,0,0,0
Depreciation,47,40,0,58,44,57,61,60,67,84,113,134,0
Profit before tax,"1,572","1,642","1,842","1,863","1,839","1,274","1,198","1,219",961,"1,085","1,028","1,582","1,701"
Tax %,1%,0%,10%,10%,12%,11%,11%,22%,21%,25%,17%,25%,
Net Profit +,"1,561","1,640","1,650","1,682","1,619","1,139","1,067",956,759,813,851,"1,186","1,262"
EPS in Rs,10.92,11.46,11.52,11.72,11.28,7.93,7.43,6.66,5.28,5.65,5.90,8.20,8.74
Dividend Payout %,70%,51%,73%,63%,59%,40%,11%,30%,10%,11%,10%,10%,
