,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Sales +,630,797,893,767,913,"1,000","1,134","1,376","1,491","1,852","2,177","2,623"
Expenses +,512,612,757,722,834,868,942,"1,037","1,232","1,513","1,719","2,094"
Operating Profit,118,185,136,45,78,132,192,340,259,340,459,529
OPM %,19%,23%,15%,6%,9%,13%,17%,25%,17%,18%,21%,20%
Other Income +,4,3,9,7,8,5,0,7,42,59,50,70
Interest,19,16,10,7,10,10,9,8,8,9,11,12
Depreciation,16,16,28,30,27,23,27,36,45,52,74,83
Profit before tax,86,156,107,15,50,104,157,302,248,338,424,504
Tax %,15%,28%,23%,24%,28%,23%,23%,21%,25%,21%,26%,24%
Net Profit +,74,112,83,11,36,80,121,239,187,265,315,383
EPS in Rs,1.87,2.67,1.92,0.22,0.80,1.87,2.95,5.76,4.51,5.88,6.92,8.40
Dividend Payout %,5%,4%,21%,23%,6%,3%,3%,4%,6%,9%,9%,10%
